-0.672298,-0.312765,1.50431,,
-0.596845,0.0424353,1.42746,,
0.12641,-0.141034,0.980531,,
0.208471,-0.210734,1.03706,,
-0.612726,0.412272,1.33668,,
0.0839711,0.0629316,0.981973,,
0.176889,0.141572,0.87043,,
0.0782605,0.179173,0.985515,,
0.0705614,0.273972,1.00378,,
-0.348051,0.221179,1.39055,,
-0.605289,0.226618,1.36303,,
-0.598395,0.154558,1.36683,,
-0.316814,0.415136,1.40385,,
-0.308448,0.390544,1.37788,,
-0.49991,-0.242766,1.64151,,
0.148765,-0.0875239,0.963685,,
0.205765,-0.220126,1.03327,,
0.3207,-0.089889,0.783384,,
0.351104,-0.0655084,0.770984,,
0.266714,-0.0981685,0.849204,,
0.258886,-0.103123,0.860399,,
-0.716114,-0.160684,1.51891,,
0.492398,-0.851472,2.65673,,
0.164899,0.0266466,0.836731,,
0.140305,-0.0872434,0.950857,,
0.151463,-0.089075,0.941426,,
0.190471,-0.0818568,0.904797,,
0.192558,-0.0777992,0.904164,,
-0.606215,0.208075,1.37263,,
-0.396573,-0.237412,1.83407,,
-0.212409,0.0394953,1.82761,,
-0.700766,-0.126026,1.52424,,
-0.466166,0.0448788,1.3764,,
0.280355,-0.233469,1.03858,,
-0.605324,0.216163,1.36726,,
0.295594,-0.0582966,0.796355,,
0.331818,-0.177678,0.905834,,
-0.54378,0.0940757,1.31194,,
-0.553636,0.340067,1.53414,,
-0.334582,0.295341,1.39321,,
0.149426,0.071397,0.903196,,
0.102104,0.126957,0.909156,,
0.103324,0.120255,0.918392,,
0.147403,0.264259,0.909908,,
-0.420057,0.332973,1.52164,,
-0.175503,0.35015,1.92768,,
0.210906,-0.220907,1.01755,,
0.339849,-0.084198,0.774576,,
0.330764,-0.0859703,0.781454,,
0.260224,-0.106375,0.845176,,
0.305128,-0.0900344,0.806329,,
0.307531,-0.0925938,0.812284,,
0.481432,-0.667422,1.00611,,
0.341727,-0.245539,1.25487,,
0.1902,-0.225731,0.995067,,
0.216969,-0.271801,0.998928,,
0.304583,-0.624764,0.800169,,
-0.757035,-0.0299919,1.48687,,
